country_code_cow,year,rr_jntdem,rr_priorviol,rr_rile_a,rr_rile_b,rr_s_un_glo,rr_tot_rivals,rr_moent,rr_dayent,rr_totmids2,rr_totmids5,rr_undist,rr_inst,rr_coldwar,rr_interact,rr_symm,rr_concon,rr_conmod,rr_libmod,rr_con_norile,rr_lib_norile,rr_mod_norile,rr_cinc_rile,rr_cinc_rile2,rr_strngcon,rr_strnglft,rr_wkcon,rr_wklft,rr_strngmod,rr_wkmod,rr_mxd,rr_modmod,rr_strng_norile,rr_wk_norile,rr_cap_a,rr_cap_b,rr_lncprtio,rr_active,rr_cond_act,rr_noact_cnd,rr_cnflct_cnd,rr_cnflct_cnd2,rr_strngconXcap,rr_strnglftXcap,rr_s_norileXcap,rr_wkconXcap,rr_wklftXcap,rr_wk_norileXcap,rr_voice4,rr_voice3,rr_rile_norile,rr_liblib,rr_nr_dem,rr_nr_nodem,rr_strng_nrdem,rr_wk_nrdem,rr_strng_nrnodem,rr_wk_nrnodem,rr_nrdem_lft,rr_nrdem_con,rr_nrdem_mod,rr_nrnodem_lft,rr_nrnodem_con,rr_nrnodem_mod,rr_defcommit,rr_hierarch,dyad_count
373,1996,0.0,0.0,-17.773,,0.900178,0.0,3.0,27.0,1.0,3.0,0.865941,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-17.773,-17.773,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0053573,0.0013457,1.3815458,0.0,0.0,1.0,1.0,1.0,0.0,1.3815458,0.0,0.0,0.0,1.3815458,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
375,1948,0.0,1.0,,13.551,0.703704,4.0,4.0,6.0,3.0,11.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.551,13.551,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1639996,0.001916,4.4496245,1.0,1.0,0.0,3.0,4.0,0.0,0.0,4.4496245,4.4496245,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
375,1992,1.0,0.0,,-1.886,0.974217,8.0,1.0,20.0,0.0,2.0,0.625503,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0672895,0.0021551,3.441167,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.441167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
390,1976,0.0,0.0,,-0.039,0.637969,5.0,10.0,6.0,3.0,9.0,3.878168,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.039,-0.039,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.1760274,0.0014975,4.766843,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.766843,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
433,1974,0.0,0.0,11.4,,0.701632,0.0,3.0,29.0,2.0,4.0,2.072511,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.4,11.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0242571,0.000491,3.9000204,1.0,0.0,0.0,4.0,5.0,3.9000204,0.0,0.0,0.0,0.0,3.9000204,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
450,1959,0.0,0.0,-5.3,,0.041199,10.0,7.0,8.0,13.0,26.0,0.815022,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.3,-5.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.2289647,9.74e-05,7.762497,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.762497,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
475,1960,1.0,0.0,-23.3,,0.626168,7.0,11.0,19.0,1.0,12.0,2.248299,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-23.3,-23.3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0423343,0.0041064,2.333051,1.0,0.0,0.0,4.0,7.0,0.0,2.333051,0.0,0.0,0.0,2.333051,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
522,1977,0.0,0.0,11.4,,0.644737,3.0,6.0,27.0,2.0,2.0,2.079996,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.4,11.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0233325,3.24e-05,6.579444,1.0,0.0,0.0,4.0,5.0,6.579444,0.0,0.0,0.0,0.0,6.579444,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1
560,1955,0.0,0.0,-30.6,,0.47619,9.0,6.0,30.0,4.0,15.0,0.133983,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-30.6,-30.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0505929,0.0047844,2.3584507,1.0,1.0,0.0,3.0,3.0,0.0,2.3584507,0.0,0.0,0.0,2.3584507,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1
581,1978,0.0,0.0,10.909,,0.753247,2.0,11.0,10.0,3.0,4.0,2.297766,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.909,10.909,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0237038,2.08e-05,7.038438,1.0,0.0,0.0,4.0,5.0,7.038438,0.0,0.0,0.0,0.0,7.038438,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
590,1968,1.0,0.0,-14.8,,0.729323,4.0,3.0,12.0,3.0,8.0,1.702822,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-14.8,-14.8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0322467,8.94e-05,5.8880506,0.0,0.0,0.0,2.0,2.0,0.0,5.8880506,0.0,0.0,0.0,5.8880506,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
600,1956,0.0,0.0,-25.464,,0.59387,2.0,5.0,28.0,0.0,1.0,2.975167,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-25.464,-25.464,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0325624,0.0015641,3.0358477,0.0,0.0,0.0,2.0,2.0,0.0,3.0358477,0.0,0.0,0.0,3.0358477,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
620,1953,0.0,0.0,-1.4,,0.578059,9.0,7.0,29.0,7.0,17.0,,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.4,-1.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0560323,0.0001832,5.723105,1.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,5.723105,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
